,NAME,Source,Price,Delivery Time,Stock_Avaibility,Offers,No._of_Reviews,Rating,Product_URL
0,"ASUS VivoBook 15 (2021) Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ332WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","Flipkart Internet Private Limited,","₹37,990",Faster delivery by2 PM Tomorrow|Free₹70?,Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C",--,--,https://www.flipkart.com/asus-vivobook-15-2021-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-x515ea-ej332ws-thin-light-laptop/p/itm8f93c38e258e0?pid=COMGB6DZQZWUV4P5&lid=LSTCOMGB6DZQZWUV4P5DS2A3H&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=fd6d5ee2-e5d2-4a6b-afc5-e87446fc64da.COMGB6DZQZWUV4P5.SEARCH&ppt=sp&ppn=sp&ssid=181hr9bigw0000001651651055927&qH=146bdebb324a64d3
1,"Lenovo IdeaPad 1 Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) 11IGL05 Thin and Light Laptop  (11.6 Inch, Platinum Grey, With MS Office)","Flipkart Internet Private Limited,","₹23,990",Faster delivery by2 PM Tomorrow|Free₹70?,Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C",--,--,https://www.flipkart.com/lenovo-ideapad-1-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-11igl05-thin-light-laptop/p/itm56e1f06112b0d?pid=COMGCFNZASDRTZAU&lid=LSTCOMGCFNZASDRTZAURTHFHX&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=fd6d5ee2-e5d2-4a6b-afc5-e87446fc64da.COMGCFNZASDRTZAU.SEARCH&ppt=sp&ppn=sp&ssid=181hr9bigw0000001651651055927&qH=146bdebb324a64d3
2,"DELL Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) G15-5515 Gaming Laptop  (15.6 inch, Grey, 2.57 kg, With MS Office)","Flipkart Internet Private Limited,","₹71,990","Delivery in2 Days, Friday|Free₹40?",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C",--,--,https://www.flipkart.com/dell-ryzen-5-hexa-core-5600h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-120-hz-g15-5515-gaming-laptop/p/itmdcfbf0112dca1?pid=COMGCNDPFGGYSU3U&lid=LSTCOMGCNDPFGGYSU3U8JBUJ2&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=fd6d5ee2-e5d2-4a6b-afc5-e87446fc64da.COMGCNDPFGGYSU3U.SEARCH&ppt=sp&ppn=sp&ssid=181hr9bigw0000001651651055927&qH=146bdebb324a64d3
3,"realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Laptop  (14 inch, Green, 1.37 kg, With MS Office)","Flipkart Internet Private Limited,","₹62,999","Delivery by9 May, Monday|Free₹40?",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","The performance is absolutely amazing!!
U don't get such a powerful processor and super fast 4267Mhz ram in this price point.
The only con i find is too much heating while charging and also while using it normally.
Laptop gets heated quite a lot at the bottom as well as at top between hinge and keyboard.
U don't feel much heat near trackpad and where u rest ur palms; heat dissipation is really concerning.
Battery is below average, i am getting a battery backup of 3-4hrs(without gaming or edi...
READ MORE","4.3★
49 Ratings &
15 Reviews",https://www.flipkart.com/realme-book-prime-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-cloudpro002-thin-light-laptop/p/itm7d1b1a9d3579b?pid=COMGCWBEDBYGSMA6&lid=LSTCOMGCWBEDBYGSMA6UDVMC8&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=fd6d5ee2-e5d2-4a6b-afc5-e87446fc64da.COMGCWBEDBYGSMA6.SEARCH&ppt=sp&ppn=sp&ssid=181hr9bigw0000001651651055927&qH=146bdebb324a64d3
4,"realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Laptop  (14 inch, Blue, 1.37 kg, With MS Office)","Flipkart Internet Private Limited,","₹62,999","Delivery by9 May, Monday|Free₹40?",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","The performance is absolutely amazing!!
U don't get such a powerful processor and super fast 4267Mhz ram in this price point.
The only con i find is too much heating while charging and also while using it normally.
Laptop gets heated quite a lot at the bottom as well as at top between hinge and keyboard.
U don't feel much heat near trackpad and where u rest ur palms; heat dissipation is really concerning.
Battery is below average, i am getting a battery backup of 3-4hrs(without gaming or edi...
READ MORE","4.3★
49 Ratings &
15 Reviews",https://www.flipkart.com/realme-book-prime-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-cloudpro002-thin-light-laptop/p/itmcef634fed35db?pid=COMGCWBEUEYYC7WH&lid=LSTCOMGCWBEUEYYC7WHYDUYN1&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=fd6d5ee2-e5d2-4a6b-afc5-e87446fc64da.COMGCWBEUEYYC7WH.SEARCH&ppt=sp&ppn=sp&ssid=181hr9bigw0000001651651055927&qH=146bdebb324a64d3
5,"DELL Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light Laptop  (15.6 inch, Titan Gray, 1.8 kg, With MS Office)","Flipkart Internet Private Limited,","₹39,990",Faster delivery by2 PM Tomorrow|Free₹70?,Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","Best budget laptop under 40k (However i paid 41k that's painful for me) I bought this on recommendation of my friend. Just for daily use purpose like taking classes.
Design is good . Thin and light.
Performance is good. (usually takes 0.1 sec to open a file but sometimes takes 3-4 sec)
Battery backup is good ( upto 6 hours for continuous video watching.)
Fast charging
Display is good HD. I recommend go for it.
best thing is storage that is 1tb . enough for me . overall happy besides the thin...
READ MORE","4.1★
196 Ratings &
29 Reviews",https://www.flipkart.com/dell-core-i3-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-vostro-3510-thin-light-laptop/p/itmc99d3fbbbc0c2?pid=COMGBP5FXHE2MXAZ&lid=LSTCOMGBP5FXHE2MXAZ3QISAH&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=fd6d5ee2-e5d2-4a6b-afc5-e87446fc64da.COMGBP5FXHE2MXAZ.SEARCH&ppt=sp&ppn=sp&ssid=181hr9bigw0000001651651055927&qH=146bdebb324a64d3
6,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX GTX 1650/144 Hz) FX506LH-HN258WS Gaming Laptop  (15.6 Inch, Black Plastic, 2.30 Kg, With MS Office)","Flipkart Internet Private Limited,","₹56,990","Delivery in2 Days, Friday|Free₹40?",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","Got this for 61k. Great value for money. Best infact at this price point. Battery 6-7 hours on idle or low usage(brightness 50%, silent mode).
Performance is exceptional.
Tried 5 games(days gone-75-90fps, max temp 78c/88c)
Control, gta v, rdr2, forza horizon 4. All games played at high settings. Control on ultra. N valorant on ultra.
Played continuously for 6 hours but have to put laptop on charge while playing. Which is normal for gaming laptops.
RGB keyboard is nice, but I wish the breathe...
READ MORE","4.5★
3,993 Ratings &
445 Reviews",https://www.flipkart.com/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lh-hn258ws-laptop/p/itm57d649902588e?pid=COMGB732MK9RHD5P&lid=LSTCOMGB732MK9RHD5PTLPL3I&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=fd6d5ee2-e5d2-4a6b-afc5-e87446fc64da.COMGB732MK9RHD5P.SEARCH&ppt=sp&ppn=sp&ssid=181hr9bigw0000001651651055927&qH=146bdebb324a64d3
7,"SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NP340XLA-KA1IN Thin and Light Laptop  (14 Inch, Silver, 1.38 Kg, With MS Office)","Flipkart Internet Private Limited,","₹36,990","Delivery by11 May, Wednesday|Free₹40?",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C",go for it,--,https://www.flipkart.com/samsung-galaxy-book-go-snapdragon-7c-gen-2-4-gb-128-gb-emmc-storage-windows-11-home-np340xla-ka1in-thin-light-laptop/p/itm57fdb71eb3d2a?pid=COMGCFN8JMVHPHNZ&lid=LSTCOMGCFN8JMVHPHNZRG2BGK&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=fd6d5ee2-e5d2-4a6b-afc5-e87446fc64da.COMGCFN8JMVHPHNZ.SEARCH&ppt=sp&ppn=sp&ssid=181hr9bigw0000001651651055927&qH=146bdebb324a64d3
8,"realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Laptop  (14 inch, Grey, 1.37 kg, With MS Office)","Flipkart Internet Private Limited,","₹62,999","Delivery by10 May, Tuesday|Free?",Available,"EMI starting from ₹2,154/monthView Plans","The performance is absolutely amazing!!
U don't get such a powerful processor and super fast 4267Mhz ram in this price point.
The only con i find is too much heating while charging and also while using it normally.
Laptop gets heated quite a lot at the bottom as well as at top between hinge and keyboard.
U don't feel much heat near trackpad and where u rest ur palms; heat dissipation is really concerning.
Battery is below average, i am getting a battery backup of 3-4hrs(without gaming or edi...
READ MORE","4.3★
49 Ratings &
15 Reviews",https://www.flipkart.com/realme-book-prime-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-cloudpro002-thin-light-laptop/p/itm41059a863fc02?pid=COMGCWBEFHWXXY5A&lid=LSTCOMGCWBEFHWXXY5ARDAKYJ&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=fd6d5ee2-e5d2-4a6b-afc5-e87446fc64da.COMGCWBEFHWXXY5A.SEARCH&ppt=sp&ppn=sp&ssid=181hr9bigw0000001651651055927&qH=146bdebb324a64d3
9,"ASUS VivoBook K15 OLED Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L713WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 Kg, With MS Office)","Flipkart Internet Private Limited,","₹59,990",Faster delivery by2 PM Tomorrow|Free₹70?,Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","The laptop is worth every penny you pay. OLED screen is the USP of this laptop. The screen looks beautiful and it's a feast to watch videos on this. I am astonished to hear the speakers on this. I did not expect them to this good. Dont forget to use inbuild DTS app to modify the speakers settings. Windows 11 boots up in around 5-8 secs. The only draw back in this laptop is the battery. It has 42whr batter and I am getting around 3-4 hrs with normal usage. If battery is not a big concern for y...
READ MORE","4.6★
24 Ratings &
4 Reviews",https://www.flipkart.com/asus-vivobook-k15-oled-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-km513ua-l713ws-thin-light-laptop/p/itmb3a48eb017e5c?pid=COMGB6DZKZZVUQSW&lid=LSTCOMGB6DZKZZVUQSWWWGAPR&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=fd6d5ee2-e5d2-4a6b-afc5-e87446fc64da.COMGB6DZKZZVUQSW.SEARCH&ppt=sp&ppn=sp&ssid=181hr9bigw0000001651651055927&qH=146bdebb324a64d3
