,NAME,Source,Price,Delivery Time,Stock_Avaibility,Offers,No._of_Reviews,Rating,Product_URL
11,"acer Aspire 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) A315-58 Thin and Light Laptop  (15.6 inch, Pure Silver, 1.7 kg)","Flipkart Internet Private Limited,","₹33,390","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C",Very good product...very good speed coz of SSD and display quality also very good...,--,https://www.flipkart.com/acer-aspire-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-a315-58-thin-light-laptop/p/itmb6c1bec8f06ab?pid=COMGA35CFZDBQMPH&lid=LSTCOMGA35CFZDBQMPHLDG3HE&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_h%2FNOhDGFqa86xFEXOmSUKu6i3j6o3BS8%2F%2BZeMxaOvZ%2FlVeXOj%2Fn4JLOjicleXXNNwX4yCa3S4d4XVySW2B58Cw%3D%3D&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
12,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2627TU Thin and Light Laptop  (15.6 Inch, Jet Black, 1.69 Kg, With MS Office)","Flipkart Internet Private Limited,","₹39,490","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C",Great,--,https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq2627tu-thin-light-laptop/p/itmace78bd024684?pid=COMGCGSTPGZJKC6F&lid=LSTCOMGCGSTPGZJKC6FBXPL6A&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=23868390-8fbb-437b-9449-ca046b37ecff.COMGCGSTPGZJKC6F.SEARCH&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
13,"ASUS VivoBook 15 (2021) Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ332WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","Flipkart Internet Private Limited,","₹37,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","HELLO EVERYONE
Excellent Performance
6 Hours Battery back up
220GB SSD 930 GB HDD Available
Nice Design
Except delivery issue Overall laptop is Great @38000.",--,https://www.flipkart.com/asus-vivobook-15-2021-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-x515ea-ej332ws-thin-light-laptop/p/itm8f93c38e258e0?pid=COMGB6DZQZWUV4P5&lid=LSTCOMGB6DZQZWUV4P5DS2A3H&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=23868390-8fbb-437b-9449-ca046b37ecff.COMGB6DZQZWUV4P5.SEARCH&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
14,"HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s- dy2506TU Thin and Light Laptop  (14 inch, Natural Silver, 1.46 kg, With MS Office)","Flipkart Internet Private Limited,","₹35,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C",Excellent product and good quality..,"4.3★
511 Ratings &
58 Reviews",https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14s-dy2506tu-thin-light-laptop/p/itm6e9f19b41d9c9?pid=COMG92FXHPYEN44H&lid=LSTCOMG92FXHPYEN44HKXQR8G&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=23868390-8fbb-437b-9449-ca046b37ecff.COMG92FXHPYEN44H.SEARCH&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
15,"Infinix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop  (14 inch, Starfall Grey, 1.48 kg)","Flipkart Internet Private Limited,","₹29,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","No other laptops can't beat this, at this price segment ⚡⚡⚡✨✨✨✨
✨Display - Best
✨Build - best in this segment ( except ports )
✨Battery backup : 6 - 8 hours for normal usage in 80% brightness with WiFi
✨ Fan noise almost equal to zero as mentioned by company
✨ For students its specifications are more than enough
✨ Windows 11 runs very smoothly on i3 10th gen also

Let's see how is the infinix after sale service !","4.3★
1,980 Ratings &
418 Reviews",https://www.flipkart.com/infinix-inbook-x1-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-xl11-thin-light-laptop/p/itme1f084f832c66?pid=COMG8Z3H5HDHFPHQ&lid=LSTCOMG8Z3H5HDHFPHQSWUHWZ&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=en_h%2FNOhDGFqa86xFEXOmSUKu6i3j6o3BS8%2F%2BZeMxaOvZ9bn%2FlDiB1KVs%2FXdNkX6u8htVgyfFL1CXY7xzYlzCUyKg%3D%3D&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
16,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","Flipkart Internet Private Limited,","₹47,490","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","One of the best student laptop under 50000 .For coding, office work and also for who love Pc game , they can also play light games like Valorant.
the processor used in this laptop(Ryzen 5500u )is one of the best processor available in this price range.","4.3★
321 Ratings &
39 Reviews",https://www.flipkart.com/lenovo-ideapad-3-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itm790def6ef6b6f?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=23868390-8fbb-437b-9449-ca046b37ecff.COMG9VHHF6HVJPP9.SEARCH&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
17,"ASUS VivoBook Ultra 14 (2022) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X413EA-EB322WS Thin and Light Laptop  (14 inch, Bespoke Black, 1.40 kg, With MS Office)","Flipkart Internet Private Limited,","₹40,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","Flipkart just took 2 days to deliver the product.
I have used it now for just few hours, so here is the first impressions....
Battery is great as of now.
Display is great... vibrant and crisp.
i3 11 th gen handles everything too easily.
SSD is toooo fast...i have made a partition of 175gb for c drive.
Design is also great.
Comes with genuine windows 10 and ms office home & student 2019.
As of now.... everything is great. Now let's see what happens after some time, I'll edit the review after ...
READ MORE","4.4★
2,119 Ratings &
311 Reviews",https://www.flipkart.com/asus-vivobook-ultra-14-2022-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x413ea-eb322ws-thin-light-laptop/p/itmc9127f86e293e?pid=COMG87FFGQYKE6AQ&lid=LSTCOMG87FFGQYKE6AQB1ORKW&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=23868390-8fbb-437b-9449-ca046b37ecff.COMG87FFGQYKE6AQ.SEARCH&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
18,"ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","Flipkart Internet Private Limited,","₹35,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C",Very good for usage after 1 month it is good and now it will faster like new very happy with this product . quality is really awesome .😁,"4.3★
1,380 Ratings &
161 Reviews",https://www.flipkart.com/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-thin-light-laptop/p/itm8ce53e6fb58bf?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWTMCIPI&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=23868390-8fbb-437b-9449-ca046b37ecff.COMG87FFPEDAAGXW.SEARCH&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
19,"acer Nitro 5 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) AN515-44/ AN515-44-R9QA / AN515-44-R8VS Gaming Laptop  (15.6 inch, Obsidian Black, 2.3 kg)","Flipkart Internet Private Limited,","₹60,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","Writing this after 10days of use and would like to point out some things.
1. The battery life is good for such a machine. Im getting around 5 hours while normal browsing and simple tasks. Amd ryzen5 is a 7nm chip so less power consumption.
2. The display is good and you wont feel anything unless you go nick picking the faults. Yes the colour accuracy isnt great, but one wont notice in regular usage.
3. Good thermals. Doesn't heat up unnecessary under normal usage.
4. The keyboard is on the ha...
READ MORE","4.5★
2,016 Ratings &
244 Reviews",https://www.flipkart.com/acer-nitro-5-ryzen-hexa-core-4600h-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-an515-44-an515-44-r9qa-an515-44-r8vs-gaming-laptop/p/itmc1273c0dab274?pid=COMFUR8X6RGZGYCJ&lid=LSTCOMFUR8X6RGZGYCJFVOQXD&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_h%2FNOhDGFqa86xFEXOmSUKu6i3j6o3BS8%2F%2BZeMxaOvZ9TerRlUnp9BI0t2ooBAw8gw8Yd1S59F8lbQhq9h2IeWA%3D%3D&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
20,"DELL Vostro Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light Laptop  (15.6 inch, Black, 1.8 kg, With MS Office)","Flipkart Internet Private Limited,","₹39,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","Super display. Awesome performance. Window 11 with Microsoft office 11. Hybrid slot 1tb and 256gb ssd makes it best in this price range. Good thing is you can expand RAM and Hard-drive in future as it support upto 12GB of Ram, SSD can be upgraded to 512GB Which will be more than enough for your use. Do think too much just buy it.","4.1★
203 Ratings &
29 Reviews",https://www.flipkart.com/dell-vostro-core-i3-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-3510-thin-light-laptop/p/itm7d324a9076fe1?pid=COMGBP5FEFEWGNZZ&lid=LSTCOMGBP5FEFEWGNZZAMVCPR&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=23868390-8fbb-437b-9449-ca046b37ecff.COMGBP5FEFEWGNZZ.SEARCH&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
